Date,Tweets,Location,Sentiment Polarity
2019-03-05 16:24:44,b RT Delhi Congress Chief Ms No Alliance with AAP We told Congress President and Rahulji agree xe2 x80 xa6,"b'New Delhi, India'",0.0
2019-03-05 16:24:44,b RT IAF given proof india shot down pakistan F16 n nBut Political Advisor of don t trust Indian Air force He bel xe2 x80 xa6,"b'Mirzapur, India'",-0.07777777777777779
2019-03-05 16:24:43,b RT harsha In the fight on number of casualties and others have forgotten that the IAF has executed a task no oth xe2 x80 xa6,b'India',0.0
2019-03-05 16:24:34,b RT Ji Answer Please Your Govt Failure Yes No,b'',-0.3166666666666667
2019-03-05 16:24:29,b sgh Tell me what u want I don xe2 x80 x99t mind TMC h xe2 x80 xa6,b' Kolkata Mumbai ',0.0
2019-03-05 16:24:26,b RT Rahul Gandhi Arvind Kejriwal AAPCongressAlliance nMy cartoon for More,b'',0.5
2019-03-05 16:24:25,b RT Rahul Gandhi Arvind Kejriwal AAPCongressAlliance nMy cartoon for More,b'',0.5
2019-03-05 16:24:23,b RT harsha In the fight on number of casualties and others have forgotten that the IAF has executed a task no oth xe2 x80 xa6,b'India',0.0
2019-03-05 16:24:18,b SHAME ON POLITICAL PARTIES WITH MAXIMUM ANTI NATIONALS TRAITORS in Congress Samajvadi party Tmc Dmk AAP PDP xe2 x80 xa6,b'India',0.0
2019-03-05 16:24:12,b RT Rahul Gandhi Arvind Kejriwal AAPCongressAlliance nMy cartoon for More,b'',0.5
2019-03-05 16:24:11,b RT Shocking statement from CONgress leader Belur Gopalakrishna he calls out to assassinate PM n nTo appease a pa xe2 x80 xa6,"b'Jaipur, India'",-1.0
2019-03-05 16:24:05,b RT Well we remember you saying you don xe2 x80 x99t endorse hate politics but now that your own party leader has openly c xe2 x80 xa6,b'',-0.0666666666666667
2019-03-05 16:24:02,b xe2 x80 x9cSo four years were wasted by the NDA Government from 2000 to 2004 to take a decision whether single vendor or mul xe2 x80 xa6,b'Mumbai',-0.13571428571428573
2019-03-05 16:24:01,b RT Best of luck future amp after next PM of India,b'Ranchi',0.3333333333333333
2019-03-05 16:24:00,b RT Rahul Gandhi Arvind Kejriwal AAPCongressAlliance nMy cartoon for More,b'Fatehpur-Allahabad-Hyderabad',0.5
2019-03-05 16:23:58,b RT Don xe2 x80 x99t worry n RahulGandhi you have invented Vada Pav to Sona Machine nYou will convert all Vada pav in mumbai to gold wit xe2 x80 xa6,b'',0.0
2019-03-05 16:23:58,b Next PM For India,b'India',0.0
2019-03-05 16:23:57,b shame to be a leader with no control on state,b'India',0.0
2019-03-05 16:23:55,b RT sharma I am glad this Jai Chand has started speaking again Wish Mani Aiyar and Khurshid also join in Together with xe2 x80 xa6,b'',0.5
2019-03-05 16:23:55,b RT mp So xe2 x80 x98s politics in full flow now n nHate our so much tht u will hug wink dalliance wth Terror suppr xe2 x80 xa6,b'',0.275
2019-03-05 16:23:49,b RT mp So xe2 x80 x98s politics in full flow now n nHate our so much tht u will hug wink dalliance wth Terror suppr xe2 x80 xa6,"b'Jaipur, India'",0.275
2019-03-05 16:23:48,b RT Shri President launched ChaloPanchayatChaloWardAbhiyan today at Congress Bhawan in the presence o xe2 x80 xa6,"b'Jogeshwari East, Mumbai'",0.0
2019-03-05 16:23:46,b RT Shocking statement from CONgress leader Belur Gopalakrishna he calls out to assassinate PM n nTo appease a pa xe2 x80 xa6,"b'\xe0\xa4\xaa\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa5\x87\xe0\xa4\xb8\xe0\xa4\xbf\xe0\xa4\xa1\xe0\xa5\x87\xe0\xa4\x82\xe0\xa4\x9f\xe0\xa5\x8d\xe0\xa4\xb8 \xe0\xa4\x8f\xe0\xa4\xb8\xe0\xa5\x8d\xe0\xa4\x9f\xe0\xa5\x87\xe0\xa4\x9f, \xe0\xa4\xa8\xe0\xa4\x88 \xe0\xa4\xa6\xe0\xa4\xbf\xe0\xa4\xb2\xe0\xa5\x8d\xe0\xa4\xb2\xe0\xa5\x80'",-1.0
2019-03-05 16:23:45,b xe2 x80 xa6,"b'Pune, Maharashtra '",0.0
2019-03-05 16:23:42,b I agree what ever palace and good paying jobs were given by congress in last 60 years all have been xe2 x80 xa6,"b'\xe0\xa4\xa8\xe0\xa4\x88 \xe0\xa4\xa6\xe0\xa4\xbf\xe0\xa4\xb2\xe0\xa5\x8d\xe0\xa4\xb2\xe0\xa5\x80, \xe0\xa4\xad\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa4\xa4'",0.35
2019-03-05 16:23:41,b RT Congress President welcomes Ferozepur MP Shri Sher Singh Ghubaya to the Congress party We wish him all the best xe2 x80 xa6,"b'New Delhi, India'",1.0
